
Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2008,22,TBR,AL,0,0,,1.93,5,1,0,0,0,0,14.0,9,4,3,1,4,0,12,1,0,0,57,234,3.42,0.929,5.8,0.6,2.6,7.7,3.00,
2009,23,TBR,AL,10,7,.588,4.42,23,23,0,0,0,0,128.1,119,72,63,17,54,0,102,4,0,2,557,98,4.59,1.348,8.3,1.2,3.8,7.2,1.89,
2010 ★,24,TBR,AL,19,6,.760,2.72,32,31,0,2,1,0,208.2,170,71,63,15,79,1,188,5,3,5,861,144,3.42,1.193,7.3,0.6,3.4,8.1,2.38,ASCYA-2
2011 ★,25,TBR,AL,12,13,.480,3.49,34,34,0,0,0,0,224.1,192,93,87,22,63,5,218,9,0,2,918,108,3.32,1.137,7.7,0.9,2.5,8.7,3.46,AS
2012 ★,26,TBR,AL,20,5,.800,2.56,31,31,0,2,1,0,211.0,173,63,60,16,59,2,205,5,1,8,836,150,3.05,1.100,7.4,0.7,2.5,8.7,3.47,ASCYA-1MVP-12
2013,27,TBR,AL,10,8,.556,3.33,27,27,0,4,0,0,186.2,178,78,69,16,27,0,151,3,0,6,740,115,3.03,1.098,8.6,0.8,1.3,7.3,5.59,
2014 ★,28,TOT,AL,15,12,.556,3.26,34,34,0,3,0,0,248.1,230,100,90,25,38,1,271,5,0,2,1009,115,2.78,1.079,8.3,0.9,1.4,9.8,7.13,ASCYA-6
2014,28,TBR,AL,11,8,.579,3.11,23,23,0,2,0,0,170.2,156,68,59,20,23,1,189,5,0,2,689,119,2.93,1.049,8.2,1.1,1.2,10.0,8.22,
2014,28,DET,AL,4,4,.500,3.59,11,11,0,1,0,0,77.2,74,32,31,5,15,0,82,0,0,0,320,108,2.44,1.146,8.6,0.6,1.7,9.5,5.47,
2015 ★,29,TOT,AL,18,5,.783,2.45,32,32,0,3,1,0,220.1,190,70,60,17,47,2,225,3,0,4,888,161,2.78,1.076,7.8,0.7,1.9,9.2,4.79,ASCYA-2MVP-9
2015,29,DET,AL,9,4,.692,2.53,21,21,0,3,1,0,146.0,133,50,41,13,29,2,138,3,0,3,592,156,3.06,1.110,8.2,0.8,1.8,8.5,4.76,
2015,29,TOR,AL,9,1,.900,2.30,11,11,0,0,0,0,74.1,57,20,19,4,18,0,87,0,0,1,296,172,2.22,1.009,6.9,0.5,2.2,10.5,4.83,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,104,56,.650,3.09,218,213,0,14,3,0,1441.2,1261,551,495,129,371,11,1372,35,4,29,5866,126,3.19,1.132,7.9,0.8,2.3,8.6,3.70,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,16,9,.650,3.09,34,34,0,2,0,0,227,199,87,78,20,59,2,216,6,1,5,925,126,3.19,1.132,7.9,0.8,2.3,8.6,3.70,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBR (7 yrs),TBR (7 yrs),TBR (7 yrs),TBR (7 yrs),82,47,.636,3.18,175,170,0,10,2,0,1143.2,997,449,404,107,309,9,1065,32,4,25,4658,122,3.33,1.142,7.8,0.8,2.4,8.4,3.45,
DET (2 yrs),DET (2 yrs),DET (2 yrs),DET (2 yrs),13,8,.619,2.90,32,32,0,4,1,0,223.2,207,82,72,18,44,2,220,3,0,3,912,135,2.84,1.122,8.3,0.7,1.8,8.9,5.00,
TOR (1 yr),TOR (1 yr),TOR (1 yr),TOR (1 yr),9,1,.900,2.30,11,11,0,0,0,0,74.1,57,20,19,4,18,0,87,0,0,1,296,172,2.22,1.009,6.9,0.5,2.2,10.5,4.83,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL (8 yrs),AL (8 yrs),AL (8 yrs),AL (8 yrs),104,56,.650,3.09,218,213,0,14,3,0,1441.2,1261,551,495,129,371,11,1372,35,4,29,5866,126,3.19,1.132,7.9,0.8,2.3,8.6,3.70,
