Rk,Name,Inducted,Yrs,From,To,ASG,WAR/pos,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,GDP,SF,SH,BA,OBP,SLG,OPS
1,Hank Aaron,1982,23,1954,1976,25,143,3298,13941,12364,2174,3771,624,98,755,2297,240,73,1402,1383,293,328,121,21,0.305,0.374,0.555,0.928
2,Pete Alexander,1938,20,1911,1930,0,3,703,1979,1810,154,378,60,13,11,163,3,5,77,276,,,,88,0.209,0.242,0.275,0.517
3,Roberto Alomar,2011,17,1988,2004,12,67.1,2379,10400,9073,1508,2724,504,80,210,1134,474,114,1032,1140,62,206,97,148,0.3,0.371,0.443,0.814
4,Walter Alston,1983,1,1936,1936,0,0,1,1,1,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0
5,Sparky Anderson,2000,1,1959,1959,0,-1.2,152,527,477,42,104,9,3,0,34,6,9,42,53,1,15,2,5,0.218,0.282,0.249,0.531
6,Cap Anson,1939,27,1871,1897,0,94.2,2524,11331,10281,1999,3435,582,142,97,2075,277,16,984,330,,6,,34,0.334,0.394,0.447,0.841
7,Luis Aparicio,1984,18,1956,1973,13,55.8,2599,11230,10230,1335,2677,394,92,83,791,506,136,736,742,22,184,76,161,0.262,0.311,0.343,0.653
8,Luke Appling,1964,20,1930,1950,7,74.4,2422,10254,8856,1319,2749,440,102,45,1116,179,108,1302,528,33,129,,74,0.31,0.399,0.398,0.798
9,Richie Ashburn,1995,15,1948,1962,6,63.9,2189,9736,8365,1322,2574,317,109,29,586,234,117,1198,571,40,83,18,112,0.308,0.396,0.382,0.778
10,Earl Averill,1975,13,1929,1941,6,48,1669,7221,6353,1224,2019,401,128,238,1164,70,58,774,518,0,7,,55,0.318,0.395,0.534,0.928
11,Jeff Bagwell,2017,15,1991,2005,4,79.9,2150,9431,7797,1517,2314,488,32,449,1529,202,78,1401,1558,155,221,102,3,0.297,0.408,0.54,0.948
12,Home Run Baker,1955,13,1908,1922,0,62.8,1575,6676,5984,887,1838,315,103,96,991,235,54,473,344,,,,153,0.307,0.363,0.442,0.805
13,Dave Bancroft,1971,16,1915,1930,0,48.6,1913,8249,7182,1048,2004,320,77,32,591,145,75,827,487,,,,212,0.279,0.355,0.358,0.714
14,Ernie Banks,1977,19,1953,1971,14,67.5,2528,10395,9421,1305,2583,407,90,512,1636,50,53,763,1236,202,229,96,45,0.274,0.33,0.5,0.83
15,Jake Beckley,1971,20,1888,1907,0,61.6,2392,10517,9551,1603,2938,473,244,87,1581,315,,616,526,,,,167,0.308,0.361,0.436,0.797
16,Johnny Bench,1989,17,1967,1983,14,75.2,2158,8674,7658,1091,2048,381,24,389,1376,68,43,891,1278,135,201,90,11,0.267,0.342,0.476,0.817
17,Chief Bender,1953,16,1903,1925,0,5.1,507,1276,1147,102,243,40,10,6,116,20,2,75,160,,,,42,0.212,0.266,0.28,0.546
18,Yogi Berra,1972,19,1946,1965,18,59.4,2120,8359,7555,1175,2150,321,49,358,1430,30,26,704,414,91,146,44,9,0.285,0.348,0.482,0.83
19,Craig Biggio,2015,20,1988,2007,7,65.5,2850,12504,10876,1844,3060,668,55,291,1175,414,124,1160,1753,68,150,81,101,0.281,0.363,0.433,0.796
20,Bert Blyleven,2011,22,1970,1992,2,-1.6,218,514,451,19,59,7,0,0,25,0,0,5,193,0,4,0,56,0.131,0.144,0.146,0.29
21,Wade Boggs,2005,18,1982,1999,12,91.4,2439,10740,9180,1513,3010,578,61,118,1014,24,35,1412,745,180,236,96,29,0.328,0.415,0.443,0.858
22,Jim Bottomley,1974,16,1922,1937,0,35.3,1991,8354,7471,1177,2313,465,151,219,1422,58,15,664,591,,33,,177,0.31,0.369,0.5,0.869
