
Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2010,24,BAL,AL,6,6,.500,4.66,18,18,0,0,0,0,100.1,106,57,52,9,48,3,52,4,0,5,449,89,4.76,1.535,9.5,0.8,4.3,4.7,1.08,
2011,25,BAL,AL,10,8,.556,5.05,22,22,0,0,0,0,119.1,115,70,67,21,59,2,93,4,0,0,523,83,5.34,1.458,8.7,1.6,4.4,7.0,1.58,
2012,26,BAL,AL,3,9,.250,6.20,24,18,1,0,0,0,114.2,122,82,79,16,35,3,109,5,0,4,496,68,4.05,1.369,9.6,1.3,2.7,8.6,3.11,
2013,27,TOT,MLB,5,4,.556,4.78,14,14,0,0,0,0,75.1,59,41,40,9,41,1,60,5,0,1,324,83,4.84,1.327,7.0,1.1,4.9,7.2,1.46,
2013,27,BAL,AL,1,2,.333,7.23,5,5,0,0,0,0,23.2,25,19,19,2,17,1,23,2,0,1,111,57,4.61,1.775,9.5,0.8,6.5,8.7,1.35,
2013,27,CHC,NL,4,2,.667,3.66,9,9,0,0,0,0,51.2,34,22,21,7,24,0,37,3,0,0,213,106,4.94,1.123,5.9,1.2,4.2,6.4,1.54,
2014,28,CHC,NL,10,5,.667,2.53,25,25,0,1,1,0,156.2,114,46,44,5,41,2,167,3,0,8,614,150,2.26,0.989,6.5,0.3,2.4,9.6,4.07,CYA-9
2015,29,CHC,NL,22,6,.786,1.77,33,33,0,4,3,0,229.0,150,52,45,10,48,2,236,6,0,6,870,222,2.35,0.865,5.9,0.4,1.9,9.3,4.92,CYA-1MVP-6
6 Yrs,6 Yrs,6 Yrs,6 Yrs,56,38,.596,3.70,136,130,1,5,4,0,795.1,666,348,327,70,272,13,717,27,0,24,3276,108,3.57,1.179,7.5,0.8,3.1,8.1,2.64,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,14,10,.596,3.70,35,33,0,1,1,0,203,170,89,84,18,70,3,183,7,0,6,837,108,3.57,1.179,7.5,0.8,3.1,8.1,2.64,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAL (4 yrs),BAL (4 yrs),BAL (4 yrs),BAL (4 yrs),20,25,.444,5.46,69,63,1,0,0,0,358.0,368,228,217,48,159,9,277,15,0,10,1579,77,4.72,1.472,9.3,1.2,4.0,7.0,1.74,
CHC (3 yrs),CHC (3 yrs),CHC (3 yrs),CHC (3 yrs),36,13,.735,2.26,67,67,0,5,4,0,437.1,298,120,110,22,113,4,440,12,0,14,1697,171,2.62,0.940,6.1,0.5,2.3,9.1,3.89,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL (4 yrs),AL (4 yrs),AL (4 yrs),AL (4 yrs),20,25,.444,5.46,69,63,1,0,0,0,358.0,368,228,217,48,159,9,277,15,0,10,1579,77,4.72,1.472,9.3,1.2,4.0,7.0,1.74,
NL (3 yrs),NL (3 yrs),NL (3 yrs),NL (3 yrs),36,13,.735,2.26,67,67,0,5,4,0,437.1,298,120,110,22,113,4,440,12,0,14,1697,171,2.62,0.940,6.1,0.5,2.3,9.1,3.89,
