
Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2002,23,ANA,AL,9,4,.692,3.66,18,18,0,1,0,0,108.1,113,52,44,10,33,0,69,4,2,7,465,121,3.91,1.348,9.4,0.8,2.7,5.7,2.09,RoY-4
2003,24,ANA,AL,10,16,.385,4.63,33,33,0,2,2,0,204.0,223,117,105,31,66,4,151,10,1,11,885,95,4.64,1.417,9.8,1.4,2.9,6.7,2.29,
2004,25,ANA,AL,14,13,.519,4.67,33,32,0,1,1,0,198.1,215,108,103,22,60,4,144,8,1,11,855,95,4.07,1.387,9.8,1.0,2.7,6.5,2.40,
2005,26,LAA,AL,14,5,.737,3.44,33,33,0,1,0,0,209.0,208,85,80,13,71,3,199,11,0,18,892,123,3.10,1.335,9.0,0.6,3.1,8.6,2.80,
2006,27,LAA,AL,13,11,.542,3.56,33,33,0,3,2,0,217.2,203,98,86,14,72,4,190,9,0,16,922,127,3.35,1.263,8.4,0.6,3.0,7.9,2.64,
2007 ★,28,LAA,AL,19,9,.679,3.01,33,33,0,2,2,0,224.0,219,87,75,18,52,2,179,12,1,9,929,150,3.54,1.210,8.8,0.7,2.1,7.2,3.44,ASCYA-3MVP-17
2008,29,LAA,AL,12,5,.706,3.75,24,24,0,3,0,0,163.1,161,71,68,26,40,1,130,10,0,5,675,119,4.53,1.231,8.9,1.4,2.2,7.2,3.25,
2009,30,LAA,AL,11,8,.579,3.83,27,27,0,1,1,0,176.1,177,84,75,17,47,1,139,9,0,6,748,115,3.73,1.270,9.0,0.9,2.4,7.1,2.96,
2010,31,BOS,AL,14,11,.560,4.40,33,33,0,0,0,0,215.0,233,114,105,18,72,2,156,9,0,3,930,99,3.85,1.419,9.8,0.8,3.0,6.5,2.17,
2011,32,BOS,AL,12,12,.500,6.41,28,28,0,0,0,0,160.0,203,119,114,20,56,1,108,19,0,11,743,67,4.71,1.619,11.4,1.1,3.2,6.1,1.93,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,34,BOS,AL,10,13,.435,3.52,29,29,0,2,0,0,189.1,179,80,74,26,40,0,161,6,0,4,778,117,3.86,1.157,8.5,1.2,1.9,7.7,4.03,
2014,35,TOT,MLB,14,10,.583,3.82,31,31,0,1,0,0,198.0,206,94,84,24,47,1,164,1,2,4,833,102,3.78,1.278,9.4,1.1,2.1,7.5,3.49,
2014,35,BOS,AL,11,7,.611,3.60,21,21,0,1,0,0,137.1,137,60,55,15,32,0,116,0,1,3,572,111,3.56,1.231,9.0,1.0,2.1,7.6,3.63,
2014,35,STL,NL,3,3,.500,4.30,10,10,0,0,0,0,60.2,69,34,29,9,15,1,48,1,1,1,261,85,4.27,1.385,10.2,1.3,2.2,7.1,3.20,
2015,36,STL,NL,13,10,.565,2.77,33,33,0,1,0,0,218.0,211,71,67,21,53,5,175,4,3,5,896,143,3.57,1.211,8.7,0.9,2.2,7.2,3.30,CYA-9
13 Yrs,13 Yrs,13 Yrs,13 Yrs,165,127,.565,3.92,388,387,0,18,8,0,2481.1,2551,1180,1080,260,709,28,1965,112,10,110,10551,110,3.86,1.314,9.3,0.9,2.6,7.1,2.77,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,14,11,.565,3.92,34,34,0,2,1,0,218,224,104,95,23,62,2,172,10,1,10,926,110,3.86,1.314,9.3,0.9,2.6,7.1,2.77,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAA (8 yrs),LAA (8 yrs),LAA (8 yrs),LAA (8 yrs),102,71,.590,3.81,234,233,0,14,8,0,1501.0,1519,702,636,151,441,19,1201,73,5,83,6371,116,3.83,1.306,9.1,0.9,2.6,7.2,2.72,
BOS (4 yrs),BOS (4 yrs),BOS (4 yrs),BOS (4 yrs),47,43,.522,4.46,111,111,0,3,0,0,701.2,752,373,348,79,200,3,541,34,1,21,3023,94,3.99,1.357,9.6,1.0,2.6,6.9,2.71,
STL (2 yrs),STL (2 yrs),STL (2 yrs),STL (2 yrs),16,13,.552,3.10,43,43,0,1,0,0,278.2,280,105,96,30,68,6,223,5,4,6,1157,125,3.72,1.249,9.0,1.0,2.2,7.2,3.28,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL (12 yrs),AL (12 yrs),AL (12 yrs),AL (12 yrs),149,114,.567,4.02,345,344,0,17,8,0,2202.2,2271,1075,984,230,641,22,1742,107,6,104,9394,108,3.88,1.322,9.3,0.9,2.6,7.1,2.72,
NL (2 yrs),NL (2 yrs),NL (2 yrs),NL (2 yrs),16,13,.552,3.10,43,43,0,1,0,0,278.2,280,105,96,30,68,6,223,5,4,6,1157,125,3.72,1.249,9.0,1.0,2.2,7.2,3.28,
