
Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2009,19,SFG,NL,0,0,,1.80,4,1,1,0,0,0,10.0,8,2,2,2,3,1,10,0,0,0,40,244,4.60,1.100,7.2,1.8,2.7,9.0,3.33,
2010,20,SFG,NL,7,6,.538,3.00,18,18,0,0,0,0,111.0,119,40,37,11,26,2,86,5,1,1,472,131,3.66,1.306,9.6,0.9,2.1,7.0,3.31,
2011,21,SFG,NL,13,13,.500,3.21,33,33,0,0,0,0,204.2,202,82,73,12,46,5,191,5,1,0,844,109,2.67,1.212,8.9,0.5,2.0,8.4,4.15,CYA-11
2012,22,SFG,NL,16,11,.593,3.37,32,32,0,2,1,0,208.1,183,87,78,23,49,6,191,7,2,3,849,105,3.50,1.114,7.9,1.0,2.1,8.3,3.90,
2013 ★,23,SFG,NL,13,9,.591,2.77,31,31,0,0,0,0,201.1,146,68,62,15,62,6,199,6,0,6,803,124,3.05,1.033,6.5,0.7,2.8,8.9,3.21,ASCYA-9
2014 ★,24,SFG,NL,18,10,.643,2.98,33,33,0,4,2,0,217.1,194,81,72,21,43,3,219,6,1,4,873,116,3.05,1.090,8.0,0.9,1.8,9.1,5.09,ASCYA-4SS
2015 ★,25,SFG,NL,18,9,.667,2.93,32,32,0,4,2,0,218.1,181,73,71,21,39,2,234,7,0,1,869,129,2.87,1.008,7.5,0.9,1.6,9.6,6.00,ASCYA-6SS
7 Yrs,7 Yrs,7 Yrs,7 Yrs,85,58,.594,3.04,183,180,1,10,5,0,1171.0,1033,433,395,105,268,25,1130,36,5,15,4750,118,3.10,1.111,7.9,0.8,2.1,8.7,4.22,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,16,11,.594,3.04,34,34,0,2,1,0,219,194,81,74,20,50,5,212,7,1,3,890,118,3.10,1.111,7.9,0.8,2.1,8.7,4.22,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL (7 yrs),NL (7 yrs),NL (7 yrs),NL (7 yrs),85,58,.594,3.04,183,180,1,10,5,0,1171.0,1033,433,395,105,268,25,1130,36,5,15,4750,118,3.10,1.111,7.9,0.8,2.1,8.7,4.22,
