
Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2008,23,ARI,NL,0,4,.000,3.05,16,7,2,0,0,0,56.0,48,24,19,5,21,1,66,5,0,2,237,151,3.33,1.232,7.7,0.8,3.4,10.6,3.14,
2009,24,ARI,NL,9,11,.450,4.12,30,30,0,0,0,0,170.1,166,94,78,20,63,1,174,10,1,5,741,108,3.87,1.344,8.8,1.1,3.3,9.2,2.76,
2010,25,DET,AL,12,11,.522,3.50,31,31,0,0,0,0,195.2,174,84,76,20,70,1,184,7,0,8,800,120,3.71,1.247,8.0,0.9,3.2,8.5,2.63,
2011,26,DET,AL,15,9,.625,4.43,33,33,0,0,0,0,195.0,207,101,96,29,56,1,174,7,0,12,833,93,4.14,1.349,9.6,1.3,2.6,8.0,3.11,
2012,27,DET,AL,16,7,.696,3.74,32,32,0,0,0,0,187.2,179,82,78,23,60,2,231,5,1,2,787,114,3.27,1.274,8.6,1.1,2.9,11.1,3.85,
2013 ★,28,DET,AL,21,3,.875,2.90,32,32,0,0,0,0,214.1,152,73,69,18,56,0,240,4,1,6,836,144,2.74,0.970,6.4,0.8,2.4,10.1,4.29,ASCYA-1MVP-12
2014 ★,29,DET,AL,18,5,.783,3.15,33,33,0,1,1,0,220.1,196,80,77,18,63,1,252,6,1,10,904,123,2.85,1.175,8.0,0.7,2.6,10.3,4.00,ASCYA-5
2015 ★,30,WSN,NL,14,12,.538,2.79,33,33,0,4,3,0,228.2,176,74,71,27,34,2,276,5,1,10,899,144,2.77,0.918,6.9,1.1,1.3,10.9,8.12,ASCYA-5
8 Yrs,8 Yrs,8 Yrs,8 Yrs,105,62,.629,3.46,240,231,2,5,4,0,1468.0,1298,612,564,160,423,9,1597,49,5,55,6037,120,3.30,1.172,8.0,1.0,2.6,9.8,3.78,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,15,9,.629,3.46,35,33,0,1,1,0,212,187,88,81,23,61,1,231,7,1,8,872,120,3.30,1.172,8.0,1.0,2.6,9.8,3.78,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET (5 yrs),DET (5 yrs),DET (5 yrs),DET (5 yrs),82,35,.701,3.52,161,161,0,1,1,0,1013.0,908,420,396,108,305,5,1081,29,3,38,4160,117,3.32,1.197,8.1,1.0,2.7,9.6,3.54,
ARI (2 yrs),ARI (2 yrs),ARI (2 yrs),ARI (2 yrs),9,15,.375,3.86,46,37,2,0,0,0,226.1,214,118,97,25,84,2,240,15,1,7,978,117,3.73,1.317,8.5,1.0,3.3,9.5,2.86,
WSN (1 yr),WSN (1 yr),WSN (1 yr),WSN (1 yr),14,12,.538,2.79,33,33,0,4,3,0,228.2,176,74,71,27,34,2,276,5,1,10,899,144,2.77,0.918,6.9,1.1,1.3,10.9,8.12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL (5 yrs),AL (5 yrs),AL (5 yrs),AL (5 yrs),82,35,.701,3.52,161,161,0,1,1,0,1013.0,908,420,396,108,305,5,1081,29,3,38,4160,117,3.32,1.197,8.1,1.0,2.7,9.6,3.54,
NL (3 yrs),NL (3 yrs),NL (3 yrs),NL (3 yrs),23,27,.460,3.32,79,70,2,4,3,0,455.0,390,192,168,52,118,4,516,20,2,17,1877,128,3.25,1.116,7.7,1.0,2.3,10.2,4.37,
