
Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2004,20,KCR,AL,8,11,.421,3.97,24,24,0,0,0,0,145.0,143,64,64,26,26,3,100,8,1,1,599,120,4.70,1.166,8.9,1.6,1.6,6.2,3.85,RoY-4
2005,21,KCR,AL,5,17,.227,5.80,33,33,0,2,0,0,183.0,233,125,118,23,53,0,114,13,2,4,829,76,4.49,1.563,11.5,1.1,2.6,5.6,2.15,
2006,22,KCR,AL,1,0,1.000,4.26,3,0,1,0,0,0,6.1,7,3,3,1,3,2,5,0,0,0,28,116,5.04,1.579,9.9,1.4,4.3,7.1,1.67,
2007,23,KCR,AL,7,7,.500,3.69,52,14,7,0,0,1,122.0,122,52,50,12,36,5,106,3,1,3,507,124,3.74,1.295,9.0,0.9,2.7,7.8,2.94,
2008,24,KCR,AL,13,10,.565,3.47,32,32,0,1,0,0,202.1,202,87,78,21,56,1,183,4,1,8,851,125,3.56,1.275,9.0,0.9,2.5,8.1,3.27,
2009 ★,25,KCR,AL,16,8,.667,2.16,33,33,0,6,3,0,229.1,195,64,55,11,51,0,242,4,0,5,915,205,2.33,1.073,7.7,0.4,2.0,9.5,4.75,ASCYA-1MVP-17
2010,26,KCR,AL,10,14,.417,4.17,33,33,0,3,0,0,220.0,219,114,102,18,55,1,181,7,0,4,919,100,3.34,1.245,9.0,0.7,2.3,7.4,3.29,
2011,27,MIL,NL,16,6,.727,3.83,28,28,0,0,0,0,171.2,161,82,73,19,45,0,201,4,0,10,715,103,2.98,1.200,8.4,1.0,2.4,10.5,4.47,
2012,28,TOT,MLB,15,5,.750,3.48,34,34,0,0,0,0,212.1,200,84,82,18,54,0,200,2,0,8,868,115,3.10,1.196,8.5,0.8,2.3,8.5,3.70,
2012,28,MIL,NL,9,3,.750,3.44,21,21,0,0,0,0,123.0,120,49,47,7,28,0,122,0,0,4,504,120,2.53,1.203,8.8,0.5,2.0,8.9,4.36,
2012,28,LAA,AL,6,2,.750,3.53,13,13,0,0,0,0,89.1,80,35,35,11,26,0,78,2,0,4,364,108,3.89,1.187,8.1,1.1,2.6,7.9,3.00,
2013,29,LAD,NL,15,4,.789,2.63,28,28,0,1,1,0,177.2,152,54,52,13,46,1,148,7,0,5,717,135,3.23,1.114,7.7,0.7,2.3,7.5,3.22,CYA-8SS
2014 ★,30,LAD,NL,17,8,.680,2.71,32,32,0,0,0,0,202.1,190,69,61,19,43,3,207,2,0,12,821,129,2.97,1.152,8.5,0.8,1.9,9.2,4.81,ASCYA-7GG
2015 ★,31,LAD,NL,19,3,.864,1.66,32,32,0,1,0,0,222.2,148,43,41,14,40,1,200,5,0,7,843,225,2.76,0.844,6.0,0.6,1.6,8.1,5.00,ASCYA-2MVP-7GG
12 Yrs,12 Yrs,12 Yrs,12 Yrs,142,93,.604,3.35,364,323,8,14,4,1,2094.2,1972,841,779,195,508,17,1887,59,5,67,8612,123,3.31,1.184,8.5,0.8,2.2,8.1,3.71,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,14,9,.604,3.35,36,32,1,1,0,0,207,195,83,77,19,50,2,187,6,0,7,852,123,3.31,1.184,8.5,0.8,2.2,8.1,3.71,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCR (7 yrs),KCR (7 yrs),KCR (7 yrs),KCR (7 yrs),60,67,.472,3.82,210,169,8,12,3,1,1108.0,1121,509,470,112,280,12,931,39,5,25,4648,116,3.59,1.264,9.1,0.9,2.3,7.6,3.33,
LAD (3 yrs),LAD (3 yrs),LAD (3 yrs),LAD (3 yrs),51,15,.773,2.30,92,92,0,2,1,0,602.2,490,166,154,46,129,5,555,14,0,24,2381,156,2.97,1.027,7.3,0.7,1.9,8.3,4.30,
MIL (2 yrs),MIL (2 yrs),MIL (2 yrs),MIL (2 yrs),25,9,.735,3.67,49,49,0,0,0,0,294.2,281,131,120,26,73,0,323,4,0,14,1219,110,2.79,1.201,8.6,0.8,2.2,9.9,4.42,
LAA (1 yr),LAA (1 yr),LAA (1 yr),LAA (1 yr),6,2,.750,3.53,13,13,0,0,0,0,89.1,80,35,35,11,26,0,78,2,0,4,364,108,3.89,1.187,8.1,1.1,2.6,7.9,3.00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL (8 yrs),AL (8 yrs),AL (8 yrs),AL (8 yrs),66,69,.489,3.80,223,182,8,12,3,1,1197.1,1201,544,505,123,306,12,1009,41,5,29,5012,115,3.62,1.259,9.0,0.9,2.3,7.6,3.30,
NL (5 yrs),NL (5 yrs),NL (5 yrs),NL (5 yrs),76,24,.760,2.75,141,141,0,2,1,0,897.1,771,297,274,72,202,5,878,18,0,38,3600,136,2.91,1.084,7.7,0.7,2.0,8.8,4.35,
