,incident_id,date,state,city,address,n_killed,n_injured,incident_characteristics,lat_incident,lng_incident
1,461105,1/1/13,Pennsylvania,Mckeesport,1506 Versailles Avenue and Coursin Street,4,4,"Shot - Wounded/Injured||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Possession (gun(s) found during commission of other crimes)||Possession of...",40.3467,-79.8559
2,460726,1/1/13,California,Hawthorne,13500 block of Cerise Avenue,10,3,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Gang involvement",33.909,-118.333
3,478855,1/1/13,Ohio,Lorain,1776 East 28th Street,10,3,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Shots Fired - No Injuries||Bar/club incident - in or around establishment",41.4455,-82.1377
4,478925,1/5/13,Colorado,Aurora,16000 block of East Ithaca Place,6,0,"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Drug involvement||Kidnapping/abductions/hostage||Under the influen...",39.6518,-104.802
5,478959,1/7/13,North Carolina,Greensboro,307 Mourning Dove Terrace,10,2,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Suicide^||Murder/Suicide||Attempted Murder/Suicide (one variable unsuccessful)||Domestic Violence",36.114,-79.9569
6,478948,1/7/13,Oklahoma,Tulsa,6000 block of South Owasso,5,0,"Shot - Dead (murder, accidental, suicide)||Home Invasion||Home Invasion - Resident killed||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Armed r...",36.2405,-95.9768
7,479363,1/19/13,New Mexico,Albuquerque,2806 Long Lane,2,0,"Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Domestic Violence",34.9791,-106.716
8,479374,1/21/13,Louisiana,New Orleans,LaSalle Street and Martin Luther King Jr. Boulevard,7,5,"Shot - Wounded/Injured||Drive-by (car to street, car to car)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",29.9435,-90.0836
9,479389,1/21/13,California,Brentwood,1100 block of Breton Drive,12,4,"Shot - Wounded/Injured||Drive-by (car to street, car to car)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Gang involvement",37.9656,-121.718
10,492151,1/23/13,Maryland,Baltimore,1500 block of W. Fayette St.,14,6,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",39.2899,-76.6412
11,491674,1/23/13,Tennessee,Chattanooga,1501 Dodds Ave,12,3,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Murder/Suicide||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",35.0221,-85.2697
12,479413,1/25/13,Missouri,Saint Louis,W Florissant Ave and Riverview Blvd,10,3,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Drive-by (car to street, car to car)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one loca...",38.7067,-90.2494
13,479561,1/26/13,Louisiana,Charenton,1000 block of Flat Town Road,12,3,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Home Invasion||Home Invasion - Resident killed||Officer Involved Incident||Officer Involved Shooting - Officer shot||Officer Involved...",29.8816,-91.5251
14,479554,1/26/13,District of Columbia,Washington,2403 Benning Road Northeast,10,5,"Shot - Wounded/Injured||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Bar/club incident - in or around establishment",38.8978,-76.9717
15,479460,1/26/13,Ohio,Springfield,601 West Main Street,8,3,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Bar/club incident - in or aroun...",39.9252,-83.8218
16,479573,2/2/13,Tennessee,Memphis,2514 Mount Moriah,6,5,"Shot - Wounded/Injured||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Bar/club incident - in or around establishment",35.0803,-89.8871
17,479580,2/3/13,California,Yuba (county),5800 block of Poplar Avenue,2,3,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Drive-by (car to street, car to car)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one loca...",39.1236,-121.583
18,479592,2/7/13,Illinois,Chicago,2500 block of East 75th Street,12,4,"Shot - Wounded/Injured||Drive-by (car to street, car to car)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Gang involvement",41.7592,-87.5628
19,479603,2/9/13,Louisiana,New Orleans,400 block of Bourbon Street,5,4,"Shot - Wounded/Injured||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Bar/club incident - in or around establishment",29.9563,-90.0676
20,480311,2/11/13,California,Vallejo,800 block of Humboldt Street,5,4,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",38.1072,-122.228
21,480327,2/11/13,Delaware,Wilmington,500 North King Street,8,2,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Suicide^||Murder/Suicide||Officer Involved Incident||Officer Involved Shooting - Officer shot||Officer Involved Shooting - subject/su...",39.7407,-75.5499
